duplicate,dist,address.x,address.y,,,geometry.x,,geometry.y,
n,2.91E-05,family dollar,durham food world,401 East Lakewood Avenue,401 EAST LAKEWOOD AVENUE # B,c(-78.899964,35.987775),c(-78.899977,35.987749)
n,0.002041937612,bull market 112,colonial village family fare 196,2110 Roxboro Road,2108 AVONDALE DRIVE,c(-78.8896819,36.018255),c(-78.888703,36.016463)
n,0.001145648899,harris teeter 224,makus empanadas,1125 West NC Hwy 54 Suite 304,1125 WEST NC HWY 54,c(-78.9583786,35.9174972),c(-78.957646,35.918378)
n,0.002068714678,tobacco town,wellons village family fare 447,921 North Miami Blvd,1000 NORTH MIAMI BLVD # 105,c(-78.8680389,35.9914349),c(-78.867082,35.993269)
y,7.63E-05,trinity food mart,trinity food mart,403 West Trinity Avenue,403 WEST TRINITY AVENUE,c(-78.901741,36.00523),c(-78.901781,36.005165)
n,0.004474121475,"harris teeter fuel 172 - durham, nc kiosk",neo china restaurant,4015 University Drive Suite I,1809 MARTIN LUTHER KING JR PARKWAY,c(-78.9564501,35.9645316),c(-78.958057,35.960356)
n,0.002175503254,west durham family fare 450,vine asian cuisine,607 Broad Street,1922 WEST MAIN STREET,c(-78.9198264,36.0061055),c(-78.921896,36.006776)
n,0.000563773004,taiba market,cookery,1101 West Chapel Hill Street,1008 W Chapel Hill St,c(-78.915869,35.996597),c(-78.915721,35.997141)
n,0.001577767477,umstead road b p 440,bull market 133,5100 Guess Road,5109 GUESS ROAD,c(-78.930759,36.0833299),c(-78.932328,36.083496)
n,0.003122431104,duke street b p 214,cruizers 13,4401 North Roxboro Road,3804 NORTH DUKE STREET,c(-78.903637,36.054338),c(-78.904727,36.051412)
n,0.001443058557,family dollar #293,la movida night club,2202 Avondale Drive,2110 N Roxboro Road,c(-78.88937,36.01688),c(-78.889663,36.018293)
n,0.001095595272,cruizers,rickys n y pizza,5279 North Roxboro Road Unit H-I,100 LATTA ROAD,c(-78.911225,36.076511),c(-78.910948,36.077571)
y,0.0003468832657,shell,bragtown shell,3615 North Roxboro Street,3615 N Roxboro St,c(-78.89647,36.03695),c(-78.896672,36.036668)
n,0.001029079686,family dollar 225,habibi mini mart,1933 Holloway Street Suite B,"1000 NORTH MIAMI BOULEVARD, SUITE 500-B",c(-78.86748,35.99232),c(-78.867082,35.993269)
